20061;# speaker = Т;;;;;;;;;;;;;;;;
20062;# sent = 1451;;;;;;;;;;;;;;;;
20063;;я;Я;SPRO sg 1p - nom;;;   _я_ поздно возвращалась в;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
20064;;поздно;ПОЗДНО;ADV -;;;  я _поздно_ возвращалась в общежитие;о;н;д;з;о;п;ADV;ПОЗДНО;ADV -;О
20065;;возвращалась;ВОЗВРАЩАТЬСЯ;V ipf praet sg indic f -;;; я поздно _возвращалась_ в общежитие ...;ь;с;а;л;а;щ;V;ВОЗВРАЩАТЬСЯ;V ipf praet sg indic f -;Я
20066;;в;В;PR;;;я поздно возвращалась _в_ общежитие ... ;в;;;;;;PR;В;PR;В
20067;;общежитие;ОБЩЕЖИТИЕ;S n inan acc sg;;;поздно возвращалась в _общежитие_ ...  ;е;и;т;и;ж;е;S;ОБЩЕЖИТИЕ;S n inan acc sg;Е
20068;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
20069;;;;;;;;;;;;;;;;;
20070;# sent = 1452;;;;;;;;;;;;;;;;
20071;# speaker = М;;;;;;;;;;;;;;;;
20072;# sent = 1453;;;;;;;;;;;;;;;;
20073;;слушай;СЛУШАТЬ;V ipf - sg imper - 2p;;;   _слушай_ / ну это;й;а;ш;у;л;с;V;СЛУШАТЬ;V ipf - sg imper - 2p;Ь
20074;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20075;;ну;НУ;PART;;; слушай / _ну_ это вот на;у;н;;;;;PART;НУ;PART;У
20076;;это;ЭТО;SPRO n - nom sg;;;слушай / ну _это_ вот на днях;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
20077;;вот;ВОТ;PART;;;/ ну это _вот_ на днях было;т;о;в;;;;PART;ВОТ;PART;Т
20078;;на;НА;PR;;;ну это вот _на_ днях было ?;а;н;;;;;PR;НА;PR;А
20079;;днях;ДЕНЬ;S m inan loc pl;;;это вот на _днях_ было ? ;х;я;н;д;;;S;ДЕНЬ;S m inan loc pl;Ь
20080;;было;БЫТЬ;V ipf praet sg indic n -;;;вот на днях _было_ ?  ;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
20081;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
20082;;;;;;;;;;;;;;;;;
20083;# sent = 1454;;;;;;;;;;;;;;;;
20084;# speaker = Т;;;;;;;;;;;;;;;;
20085;# sent = 1455;;;;;;;;;;;;;;;;
20086;;это;ЭТО;SPRO n - nom sg;;;   _это_ было этим летом;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
20087;;было;БЫТЬ;V ipf praet sg indic n -;;;  это _было_ этим летом ;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
20088;;этим;ЭТОТ;APRO - ins sg plen - -;;; это было _этим_ летом  ;м;и;т;э;;;APRO;ЭТО;S n - ins sg;Т
20089;;летом;ЛЕТО;S n inan ins sg;;;это было этим _летом_   ;м;о;т;е;л;;S;ЛЕТО;S n inan ins sg;О
20090;;;;;;;;;;;;;;;;;
20091;# sent = 1456;;;;;;;;;;;;;;;;
20092;# speaker = М;;;;;;;;;;;;;;;;
20093;# sent = 1457;;;;;;;;;;;;;;;;
20094;;летом;ЛЕТО;S n inan ins sg;;;   _летом_   ;м;о;т;е;л;;S;ЛЕТО;S n inan ins sg;О
20095;;;;;;;;;;;;;;;;;
20096;# sent = 1458;;;;;;;;;;;;;;;;
20097;# speaker = Т;;;;;;;;;;;;;;;;
20098;# sent = 1459;;;;;;;;;;;;;;;;
20099;;да;ДА;PART;;;   _да_ // поздно возвращалась;а;д;;;;;CONJ;ДА;CONJ;А
20100;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
20101;;поздно;ПОЗДНО;ADV -;;; да // _поздно_ возвращалась в общежитие;о;н;д;з;о;п;ADV;ПОЗДНО;ADV -;О
20102;;возвращалась;ВОЗВРАЩАТЬСЯ;V ipf praet sg indic f -;;;да // поздно _возвращалась_ в общежитие с;ь;с;а;л;а;щ;V;ВОЗВРАЩАТЬСЯ;V ipf praet sg indic f -;Я
20103;;в;В;PR;;;// поздно возвращалась _в_ общежитие с работы;в;;;;;;PR;В;PR;В
20104;;общежитие;ОБЩЕЖИТИЕ;S n inan acc sg;;;поздно возвращалась в _общежитие_ с работы /;е;и;т;и;ж;е;S;ОБЩЕЖИТИЕ;S n inan acc sg;Е
20105;;с;С;PR;;;возвращалась в общежитие _с_ работы / зашла;с;;;;;;PR;С;PR;С
20106;;работы;РАБОТА;S f inan gen sg;;;в общежитие с _работы_ / зашла в;ы;т;о;б;а;р;S;РАБОТА;S f inan gen sg;А
20107;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20108;;зашла;ЗАЙТИ;V pf praet sg indic f -;;;с работы / _зашла_ в лифт /;а;л;ш;а;з;;V;ЗАЙТИ;V pf praet sg indic f -;И
20109;;в;В;PR;;;работы / зашла _в_ лифт / со;в;;;;;;PR;В;PR;В
20110;;лифт;ЛИФТ;S m inan acc sg;;;/ зашла в _лифт_ / со своей;т;ф;и;л;;;S;ЛИФТ;S m inan acc sg;Т
20111;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20112;;со;СО;PR;;;в лифт / _со_ своей соседкой по;о;с;;;;;PR;СО;PR;О
20113;;своей;СВОЙ;APRO - ins sg plen f -;;;лифт / со _своей_ соседкой по квартире;й;е;о;в;с;;APRO;СВОЙ;A - ins sg plen f -;Й
20114;;соседкой;СОСЕДКА;S f anim ins sg;;;/ со своей _соседкой_ по квартире /;й;о;к;д;е;с;S;СОСЕДКА;S f anim ins sg;А
20115;;по;ПО;PR;;;со своей соседкой _по_ квартире / и;о;п;;;;;PR;ПО;PR;О
20116;;квартире;КВАРТИРА;S f inan dat sg;;;своей соседкой по _квартире_ / и там;е;р;и;т;р;а;S;КВАРТИРА;S f inan loc sg;А
20117;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20118;;и;И;CONJ;;;по квартире / _и_ там было ещё;и;;;;;;CONJ;И;CONJ;И
20119;;там;ТАМ;ADVPRO;;;квартире / и _там_ было ещё три;м;а;т;;;;ADV;ТАМ;ADV -;М
20120;;было;БЫТЬ;V ipf praet sg indic n -;;;/ и там _было_ ещё три человека;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
20121;;ещё;ЕЩЕ;ADV -;;;и там было _ещё_ три человека //;ё;щ;е;;;;ADV;ЕЩЕ;ADV -;Е
20122;;три;ТРИ;NUM nom - -;;;там было ещё _три_ человека // Было;и;р;т;;;;NUM;ТРИ;NUM nom - -;И
20123;;человека;ЧЕЛОВЕК;S m anim gen sg;;;было ещё три _человека_ // Было время;а;к;е;в;о;л;S;ЧЕЛОВЕК;S m anim gen sg;К
20124;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
20125;;Было;БЫТЬ;V ipf praet sg indic n -;;;три человека // _Было_ время около двенадцати;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
20126;;время;ВРЕМЯ;S n inan nom sg;;;человека // Было _время_ около двенадцати часов;я;м;е;р;в;;S;ВРЕМЯ;S n inan nom sg;Я
20127;;около;ОКОЛО;PR;;;// Было время _около_ двенадцати часов ночи;о;л;о;к;о;;PR;ОКОЛО;PR;О
20128;;двенадцати;ДВЕНАДЦАТЬ;NUM gen - -;;;Было время около _двенадцати_ часов ночи //;и;т;а;ц;д;а;NUM;ДВЕНАДЦАТЬ;NUM loc - -;Ь
20129;;часов;ЧАС;S m inan gen pl;;;время около двенадцати _часов_ ночи // эээ;в;о;с;а;ч;;S;ЧАС;S m inan gen pl;С
20130;;ночи;НОЧЬ;S f inan gen sg;;;около двенадцати часов _ночи_ // эээ //;и;ч;о;н;;;S;НОЧЬ;S f inan gen sg;Ь
20131;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
20132;;эээ;ЭЭЭ;INTJ;;;часов ночи // _эээ_ // мы зашли;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX;Э
20133;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
20134;;мы;МЫ;SPRO pl 1p - nom;;;// эээ // _мы_ зашли // эээ;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
20135;;зашли;ЗАЙТИ;V pf praet pl indic - -;;;эээ // мы _зашли_ // эээ поднялись;и;л;ш;а;з;;V;ЗАЙТИ;V pf praet pl indic - -;И
20136;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
20137;;эээ;ЭЭЭ;INTJ;;;мы зашли // _эээ_ поднялись / ну;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX;Э
20138;;поднялись;ПОДНЯТЬСЯ;V pf praet pl indic - -;;;зашли // эээ _поднялись_ / ну пришли;ь;с;и;л;я;н;V;ПОДНЯТЬСЯ;V pf praet pl indic - -;Я
20139;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20140;;ну;НУ;PART;;;эээ поднялись / _ну_ пришли в квартиру;у;н;;;;;PART;НУ;PART;У
20141;;пришли;ПРИЙТИ;V pf praet pl indic - -;;;поднялись / ну _пришли_ в квартиру /;и;л;ш;и;р;п;V;ПРИЙТИ;V pf praet pl indic - -;И
20142;;в;В;PR;;;/ ну пришли _в_ квартиру / и;в;;;;;;PR;В;PR;В
20143;;квартиру;КВАРТИРА;S f inan acc sg;;;ну пришли в _квартиру_ / и потом;у;р;и;т;р;а;S;КВАРТИРА;S f inan acc sg;А
20144;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20145;;и;И;CONJ;;;в квартиру / _и_ потом я смотрю;и;;;;;;CONJ;И;CONJ;И
20146;;потом;ПОТОМ;ADV -;;;квартиру / и _потом_ я смотрю мне;м;о;т;о;п;;ADV;ПОТОМ;ADV -;М
20147;;я;Я;SPRO sg 1p - nom;;;/ и потом _я_ смотрю мне вконтакте;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
20148;;смотрю;СМОТРЕТЬ;V ipf praes sg indic - 1p;;;и потом я _смотрю_ мне вконтакте приходит;ю;р;т;о;м;с;V;СМОТРЕТЬ;V ipf praes sg indic - 1p;Ь
20149;;мне;Я;SPRO sg 1p - dat;;;потом я смотрю _мне_ вконтакте приходит сообщение;е;н;м;;;;SPRO;Я;SPRO sg 1p - dat;Я
20150;;вконтакте;ВКОНТАКТЕ;S m inan loc sg;anom;;я смотрю мне _вконтакте_ приходит сообщение //;е;т;к;а;т;н;S;ВКОНТАКТЕ;S m inan loc sg;Е
20151;;приходит;ПРИХОДИТЬ;V ipf praes sg indic - 3p;;;смотрю мне вконтакте _приходит_ сообщение // ты;т;и;д;о;х;и;V;ПРИХОДИТЬ;V ipf praes sg indic - 3p;Ь
20152;;сообщение;СООБЩЕНИЕ;S n inan nom sg;;;мне вконтакте приходит _сообщение_ // ты ;е;и;н;е;щ;б;S;СООБЩЕНИЕ;S n inan nom sg;Е
20153;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
20154;;ты;ТЫ;SPRO sg 2p - nom;;;приходит сообщение // _ты_  чё ;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
20155;"<distinct form=""";;;;;;;;;;;;;;;;
20156;<dist>;чё;;;;;;;;;;;;;;;
20157;""">";;;;;;;;;;;;;;;;
20158;;что;ЧТО;SPRO n inan nom sg;;; чё  _что_  так поздно;о;т;ч;;;;ADV;ЧТО;ADV -;О
20159;</distinct>;;;;;;;;;;;;;;;;
20160;;так;ТАК;ADV -;;; что  _так_ поздно возвращаешься ?;к;а;т;;;;ADV;ТАК;ADV -;К
20161;;поздно;ПОЗДНО;ADV -;;;что  так _поздно_ возвращаешься ? ;о;н;д;з;о;п;ADV;ПОЗДНО;ADV -;О
20162;;возвращаешься;ВОЗВРАЩАТЬСЯ;V ipf praes sg indic - 2p;;; так поздно _возвращаешься_ ?  ;я;с;ь;ш;е;а;V;ВОЗВРАЩАТЬСЯ;V ipf praes sg indic - 2p;Я
20163;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
20164;;;;;;;;;;;;;;;;;
20165;# sent = 1460;;;;;;;;;;;;;;;;
20166;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
20167;;от;ОТ;PR;;;  // _от_ какого-то мужика /;т;о;;;;;PR;ОТ;PR;Т
20168;;какого-то;КАКОЙ-ТО;APRO - gen sg plen m -;;; // от _какого-то_ мужика / левого;о;т;-;о;г;о;APRO;КАКОЙ-ТО;A - gen sg plen m -;О
20169;;мужика;МУЖИК;S m anim gen sg;;;// от какого-то _мужика_ / левого /;а;к;и;ж;у;м;S;МУЖИК;S m anim gen sg;К
20170;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20171;;левого;ЛЕВЫЙ;A - gen sg plen m -;;;какого-то мужика / _левого_ / вообще незнакомый;о;г;о;в;е;л;A;ЛЕВЫЙ;A - gen sg plen m -;Й
20172;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20173;;вообще;ВООБЩЕ;ADV -;;;/ левого / _вообще_ незнакомый / типа;е;щ;б;о;о;в;ADV;ВООБЩЕ;ADV -;Е
20174;;незнакомый;НЕЗНАКОМЫЙ;A - nom sg plen m -;;;левого / вообще _незнакомый_ / типа общих;й;ы;м;о;к;а;A;НЕЗНАКОМЫЙ;A - nom sg plen m -;Й
20175;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20176;;типа;ТИПА;PART;;;вообще незнакомый / _типа_ общих друзей не;а;п;и;т;;;PART;ТИПА;PART;А
20177;;общих;ОБЩИЙ;A - gen pl plen - -;;;незнакомый / типа _общих_ друзей не было;х;и;щ;б;о;;A;ОБЩИЙ;A - gen pl plen - -;Й
20178;;друзей;ДРУГ;S m anim gen pl;;;/ типа общих _друзей_ не было вообще;й;е;з;у;р;д;S;ДРУГ;S m anim gen pl;Г
20179;;не;НЕ;PART;;;типа общих друзей _не_ было вообще ну;е;н;;;;;PART;НЕ;PART;Е
20180;;было;БЫТЬ;V ipf praet sg indic n -;;;общих друзей не _было_ вообще ну как бы;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
20181;;вообще;ВООБЩЕ;ADV -;;;друзей не было _вообще_ ну как бы /;е;щ;б;о;о;в;ADV;ВООБЩЕ;ADV -;Е
20182;;ну;НУ;PART;;;не было вообще _ну_ как бы / блин;у;н;;;;;PART;НУ;PART;У
20183;;как бы;как бы;PART;;;было вообще ну _как бы_ / блин //;ы;б; ;к;а;к;PART;как бы;ADV -;ы
20184;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20185;;блин;БЛИН;INTJ -;;;ну как бы / _блин_ // ну и;н;и;л;б;;;S;БЛИН;S m inan nom sg;Н
20186;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
20187;;ну;НУ;PART;;;/ блин // _ну_ и ещё было;у;н;;;;;PART;НУ;PART;У
20188;;и;И;CONJ;;;блин // ну _и_ ещё было такое;и;;;;;;CONJ;И;CONJ;И
20189;;ещё;ЕЩЕ;ADV -;;;// ну и _ещё_ было такое /;ё;щ;е;;;;ADV;ЕЩЕ;ADV -;Е
